target_url,base_domain,branch,agency,agency_code,bureau,bureau_code,source_list_federal_domains,source_list_dap,source_list_pulse,source_list_other,is_gov
adc.arm.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
address.api.healthcare.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
address.ncjrs.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
adf.gov,,Executive,,,,,TRUE,FALSE,TRUE,FALSE,False
adfs-elab.fbi.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
adfs-oneid.doe.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
adfs2.pnnl.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
adfsdev.everyone.llnl.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
adfsx.ams.hhs.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
adgstandards.state.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
adgsupport.state.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
adherents.usajobs.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
adlregistry.adlnet.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
adlx.adlnet.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
admin-catalog.data.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
adminplants.sc.egov.usda.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
admintool.umatch-int.nci.nih.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
admintool.umatch.nci.nih.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
admongo.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
adms.fnal.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
admscad.fnal.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
adobeconnect-login.cdc.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
adobeconnect-sp.cdc.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
adobeconnectcqauth1.cdc.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
adobeconnectcqpub1.cdc.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
adoptahorse.blm.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
adoption.state.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
adoptions.state.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
adoptionusca.state.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
adp.noaa.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
adr.gov,,Executive,,,,,TRUE,FALSE,TRUE,FALSE,False
ads-sandbox-01.state.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
ads.18f.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
ads.state.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
ads.tva.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
adsbperformance.faa.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
