Website,Public-Facing,Canonical List
asrs.arc.nasa.gov,Yes,Yes
assurancenet.fsis.usda.gov,No,Yes
astereds.cr.usgs.gov,Yes,Yes
asterweb.jpl.nasa.gov,Yes,Yes
asthmabirthcohorts.niaid.nih.gov,Yes,Yes
astribe.nsopw.gov,Yes,Yes
astro.fnal.gov,Yes,Yes
astrobiology.gsfc.nasa.gov,Yes,Yes
astrobiology.nasa.gov,Yes,Yes
astrocloud.wr.usgs.gov,Yes,Yes
astronautappearances.nasa.gov,Yes,Yes
astrowebmaps.wr.usgs.gov,Yes,Yes
atbcstudy.cancer.gov,Yes,Yes
atcsim.nasa.gov,Yes,Yes
atct.anl.gov,Yes,Yes
atcviztool.nasa.gov,Yes,Yes
atec.usajobs.gov,Yes,Yes
atf-eregs.18f.gov,No,Yes
atf-eregs.app.cloud.gov,No,Yes
atf.usajobs.gov,Yes,Yes
atfonline.gov,Yes,Yes
atlas-hllhc.docdb.bnl.gov,No,Yes
atlas-ug.docdb.bnl.gov,Yes,Yes
atlas.doe.gov,No,Yes
atlaswiki.lbl.gov,Yes,Yes
atlaswww.hep.anl.gov,Yes,Yes
atm.wff.nasa.gov,No,Yes
atmcorr.gsfc.nasa.gov,Yes,Yes
atmos.jpl.nasa.gov,Yes,Yes
atmosphere-imager.gsfc.nasa.gov,Yes,Yes
atms.fleta.gov,Yes,Yes
atrain.gesdisc.eosdis.nasa.gov,No,Yes
atrain.nasa.gov,Yes,Yes
atrain.sci.gsfc.nasa.gov,No,Yes
ats.doe.gov,No,Yes
atsdr.cdc.gov,Yes,Yes
attic.gsfc.nasa.gov,Yes,Yes
au-piv-registration.doe.gov,No,Yes
audit.lbl.gov,Yes,Yes
auditing.usajobs.gov,Yes,Yes
augustus.iqnavigator.com,No,Yes
aura.gesdisc.eosdis.nasa.gov,No,Yes
aura.gsfc.nasa.gov,Yes,Yes
auth.cdc.gov,No,Yes
auth.extranet.niddk.nih.gov,No,Yes
auth.launchpad-sbx.nasa.gov,No,Yes
auth.launchpad.nasa.gov,No,Yes
auth.ncats.nih.gov,No,Yes
auth.nih.gov,No,Yes
auth.sdcc.bnl.gov,No,Yes
authdev.nih.gov,No,Yes
authorarranger.nci.nih.gov,Yes,Yes
authproxy.nih.gov,No,Yes
authproxydev.nih.gov,No,Yes
authtest.ha.nih.gov,No,Yes
authtest.nih.gov,No,Yes
autoauctions.gsa.gov,Yes,Yes
autochoice.fas.gsa.gov,Yes,Yes
autonomy.sandia.gov,Yes,Yes
autovendor.fas.gsa.gov,Yes,Yes
ava.jpl.nasa.gov,Yes,Yes
avdc.gsfc.nasa.gov,Yes,Yes
avdc1.gsfc.nasa.gov,No,Yes
avia.abcc.ncifcrf.gov,Yes,Yes
aviationsystems.arc.nasa.gov,Yes,Yes
aviris.jpl.nasa.gov,Yes,Yes
avirisng.jpl.nasa.gov,Yes,Yes
avo-volcview.wr.usgs.gov,Yes,Yes
avo-vsc-ash.wr.usgs.gov,Yes,Yes
avreap.research.va.gov,Yes,Yes
avt.inl.gov,Yes,Yes
aw.nrel.gov,No,Yes
aws-bod1801.ornl.gov,No,Yes
aws.nmb.gov,No,Yes
awseg.sec.gov,No,Yes
awslogin-qa.awsprod.nlm.nih.gov,No,Yes
awt.cbp.gov,Yes,Yes
ayudalocal.cuidadodesalud.gov,Yes,Yes
az.blm.gov,Yes,Yes
azure.acf.hhs.gov,No,Yes
bach.doe.gov,No,Yes
backupcare.ors.nih.gov,No,Yes
badgesignup.grc.nasa.gov,No,Yes
bamc.usajobs.gov,Yes,Yes
banks-d.data.fdic.gov,No,Yes
banks.data.fdic.gov,Yes,Yes
