target_url,source_list_final_url_websites
osp.od.nih.gov,TRUE
icdr.acl.gov,TRUE
www2.fed.bop.gov,TRUE
hoscopp2owa.hosc.msfc.nasa.gov,TRUE
crfs.ctss.nih.gov,TRUE
ftp.wpc.ncep.noaa.gov,TRUE
search.ada.gov,TRUE
pnnpcn0106.care.va.gov,TRUE
bja.ojp.gov,TRUE
obssr.od.nih.gov,TRUE
guides.18f.gov,TRUE
files.consumerfinance.gov,TRUE
aimproteus.ctss.nih.gov,TRUE
simergy.lbl.gov,TRUE
ohaz2cbcn04.care2.va.gov,TRUE
fess.fnal.gov,TRUE
erdc-library.erdc.dren.mil,TRUE
carto.bldc.nwave.noaa.gov,TRUE
esgr.mil,TRUE
oceantoday.noaa.gov,TRUE
lc.peacecorps.gov,TRUE
appsextuat.fcc.gov,TRUE
oaspub.epa.gov,TRUE
pim.lbl.gov,TRUE
careerstest.pnnl.gov,TRUE
vpn.pscr.gov,TRUE
flightline.faa.gov,TRUE
nordman.lbl.gov,TRUE
staging-test.opm.gov,TRUE
atap.lbl.gov,TRUE
staticcourses.america.gov,TRUE
glovis-cloud.usgs.gov,TRUE
warren.senate.gov,TRUE
energycode.pnl.gov,TRUE
docs.google.com,TRUE
forms.test.neacc.nasa.gov,TRUE
eoffer.gsa.gov,TRUE
arc.fiscal.treasury.gov,TRUE
nwrcmap2.cr.usgs.gov,TRUE
bpm.aphis.usda.gov,TRUE
va.gov,TRUE
mjrp.osd.mil,TRUE
cascom.army.mil,TRUE
stage.niaaa.nih.gov,TRUE
report.nih.gov,TRUE
ttp.cbp.dhs.gov,TRUE
aorras01-external.ornl.gov,TRUE
auctionapplication.fcc.gov,TRUE
elmo.portal.cms.gov,TRUE
cde.nida.nih.gov,TRUE
adc-prod-web3.ornl.gov,TRUE
fj.peacecorps.gov,TRUE
mobile-vpn.ornl.gov,TRUE
panoramix.phy.bnl.gov,TRUE
nia-iqsolutions.auth.us-east-1.amazoncognito.com,TRUE
cidr.cr.usgs.gov,TRUE
static.america.gov,TRUE
bulkdata.uspto.gov,TRUE
cra-s.fdic.gov,TRUE
dementia.cindrr.research.va.gov,TRUE
tdl.apps.fema.gov,TRUE
tantalum.nec.aps.anl.gov,TRUE
login-dev.usps.gov,TRUE
nga.gov,TRUE
methane.jpl.nasa.gov,TRUE
presidio.gov,TRUE
www-nsd.lbl.gov,TRUE
webamoss.cbp.dhs.gov,TRUE
files.womenshealth.gov,TRUE
water.noaa.gov,TRUE
meps.ahrq.gov,TRUE
ramstein.tricare.mil,TRUE
companyprofiles.dev.healthcare.gov,TRUE
airmoss.ornl.gov,TRUE
nlmrsaweb.nlm.nih.gov,TRUE
wcms-demo.dhs.gov,TRUE
uz.usembassy.gov,TRUE
ors.od.nih.gov,TRUE
asa2-evpnwest.usda.gov,TRUE
aorrasdev01-external.ornl.gov,TRUE
surveyta.cdc.gov,TRUE
home.idm.cms.gov,TRUE
dha-bcs.csd.disa.mil,TRUE
epf.usps.gov,TRUE
data.uspto.gov,TRUE
eft.lm.doe.gov,TRUE
1af.acc.af.mil,TRUE
ohaz2bpcn04.care2.va.gov,TRUE
ulsdemo.fcc.gov,TRUE
kn01.pnl.gov,TRUE
ncbi.nlm.nih.gov,TRUE
vault.fbi.gov,TRUE
hallways.cap.gsa.gov,TRUE
bucvpn.occ.gov,TRUE
seaborg.llnl.gov,TRUE
cades.ornl.gov,TRUE
sfgrants.eda.gov,TRUE
swcweb.epa.gov,TRUE
cdn.eo.va.gov,TRUE
cmb.ornl.gov,TRUE
seer.cancer.gov,TRUE
nwd.acl.gov,TRUE
sites.nlm.nih.gov,TRUE
idm.cms.gov,TRUE
software.llnl.gov,TRUE
qafed.opm.gov,TRUE
bi-t.scms.psc.gov,TRUE
bboxaccess.ornl.gov,TRUE
funnel.frb.gov,TRUE
tsdrwebapp.uspto.gov,TRUE
w3crep.lbl.gov,TRUE
lanl.gov,TRUE
surveys.eeoc.gov,TRUE
nih.gov,TRUE
cbfish.org,TRUE
daac-dpq.ornl.gov,TRUE
dashboard.waterdata.usgs.gov,TRUE
miradtn05.pub.alcf.anl.gov,TRUE
idp.int.identitysandbox.gov,TRUE
globe.gov,TRUE
dmsdata.cr.usgs.gov,TRUE
login.libauth.nga.gov,TRUE
era.nih.gov,TRUE
cloud1.cees.ornl.gov,TRUE
data.va.gov,TRUE
sr.usembassy.gov,TRUE
speedtest2.pnl.gov,TRUE
cumulus.podaac.sit.earthdata.nasa.gov,TRUE
jenkins.aps.anl.gov,TRUE
apply.dev.grants.gov,TRUE
maps.usgs.gov,TRUE
oig.treasury.gov,TRUE
bc.ornl.gov,TRUE
psnet.ahrq.gov,TRUE
hl7v2-gvt.nist.gov,TRUE
connectionsii-clin-checker.test-eos.gsa.gov,TRUE
console-openshift-console.apps.granite.ccs.ornl.gov,TRUE
co2public.er.usgs.gov,TRUE
bison.csm.ornl.gov,TRUE
rivers.gov,TRUE
edit.america.gov,TRUE
piee.eb.mil,TRUE
cem.va.gov,TRUE
nimh.nih.gov,TRUE
postcalcsm.usps.com,TRUE
nwis.waterdata.usgs.gov,TRUE
digital.gov,TRUE
bl831.als.lbl.gov,TRUE
dc.waterdata.usgs.gov,TRUE
my.americorps.gov,TRUE
mfalogin.fas.gsa.gov,TRUE
hqspeed.ttb.gov,TRUE
edtservice.cdan.dot.gov,TRUE
finder.imp.healthcare.gov,TRUE
hq2010.bnl.gov,TRUE
jkodirect.jten.mil,TRUE
ccviewer.wim.usgs.gov,TRUE
login.stage.max.gov,TRUE
bioinfo.nist.gov,TRUE
cancer.gov,TRUE
accessclinicaldata.niaid.nih.gov,TRUE
cmgds.marine.usgs.gov,TRUE
data.hrsa.gov,TRUE
sit-tsdr.etc.uspto.gov,TRUE
sentry1c.frb.gov,TRUE
justice.gov,TRUE
aaicamapi.fda.gov,TRUE
adams.gov,TRUE
lasermaterials.llnl.gov,TRUE
yiliu.lbl.gov,TRUE
trainatnci.cancer.gov,TRUE
jamf.nhgri.nih.gov,TRUE
bsa.ornl.gov,TRUE
ws.usembassy.gov,TRUE
lrs.adlnet.gov,TRUE
access3.max.gov,TRUE
mnc-qa.ornl.gov,TRUE
cortezmasto.senate.gov,TRUE
vip-natweborww53.er.usgs.gov,TRUE
sbl.lbl.gov,TRUE
bulk.ginniemae.gov,TRUE
cy.usembassy.gov,TRUE
standards.digital.gov,TRUE
tedb.ornl.gov,TRUE
coastalmap.marine.usgs.gov,TRUE
doi.ccs.ornl.gov,TRUE
helpspanish.cbp.gov,TRUE
imp1b.healthcare.gov,TRUE
e3sm.ornl.gov,TRUE
burnseverity.cr.usgs.gov,TRUE
bica.nhgri.nih.gov,TRUE
designsystem.digital.gov,TRUE
aghealth.nih.gov,TRUE
gulfstudy.nih.gov,TRUE
connect.acf.gov,TRUE
osrp.lanl.gov,TRUE
in.ecit.anl.gov,TRUE
hdctssappep01.nichd.nih.gov,TRUE
it.lbl.gov,TRUE
computerscience.usajobs.gov,TRUE
daymet.ornl.gov,TRUE
mobile.va.gov,TRUE
schemas.pebblebeach.usajobs.gov,TRUE
ssa.gov,TRUE
securityawareness.usalearning.gov,TRUE
restorationdata.noaa.gov,TRUE
wrairafrica.health.mil,TRUE
impl3.dsrs.api.healthcare.gov,TRUE
smokefree.nci.nih.gov,TRUE
mynist.usajobs.gov,TRUE
www-theory.lbl.gov,TRUE
plot.dmf.arm.gov,TRUE
stars.acl.gov,TRUE
training.grants.gov,TRUE
dietaryguidelines.gov,TRUE
grants.gov,TRUE
newyork.fbi.gov,TRUE
remote-exam.fdic.gov,TRUE
fobos.lbl.gov,TRUE
srdocuments.bpa.gov,TRUE
sab.epa.gov,TRUE
dtn120.ccs.ornl.gov,TRUE
eginniemae.uat.ginniemae.gov,TRUE
cogancollection.nei.nih.gov,TRUE
epa-prgs.ornl.gov,TRUE
auth.csdap.earthdatacloud.nasa.gov,TRUE
caps.gsfc.nasa.gov,TRUE
tst.ginniemae.gov,TRUE
bl1231.als.lbl.gov,TRUE
business.ornl.gov,TRUE
usatlas.org,TRUE
fflezcheck.atf.gov,TRUE
extidp.ornl.gov,TRUE
mnspruce.ornl.gov,TRUE
swap4.ncua.gov,TRUE
dashboard.podaac.sit.earthdata.nasa.gov,TRUE
uat2.rocis.gov,TRUE
tned.uscourts.gov,TRUE
duo-work.fhfa.gov,TRUE
hacc.mil,TRUE
noaa.data.commerce.gov,TRUE
api.globe.gov,TRUE
handbook.tts.gsa.gov,TRUE
auth.cdc.gov,TRUE
code-tmp.ornl.gov,TRUE
wapa.gov,TRUE
specialreports.fcc.gov,TRUE
docs.cades.ornl.gov,TRUE
rewardsforjustice.edit.america.gov,TRUE
acl.gov,TRUE
staging.grants.gov,TRUE
clearinghouse.fmcsa.dot.gov,TRUE
remote-support.adsd.census.gov,TRUE
aviationsystems.arc.nasa.gov,TRUE
boiefiling.fincen.gov,TRUE
gadgillab.berkeley.edu,TRUE
tevnphwg.fnal.gov,TRUE
dtn111.ccs.ornl.gov,TRUE
bsi.medicare.gov,TRUE
macpatch-docs.llnl.gov,TRUE
lasso.epa.gov,TRUE
pmi.gov,TRUE
testint.niem.gov,TRUE
archive.ada.gov,TRUE
usaccess-alp.gsa.gov,TRUE
nutrb159.cc.nih.gov,TRUE
ncsesdata.nsf.gov,TRUE
archive-dtd.ncbi.nlm.nih.gov,TRUE
beta-staging.uscis.gov,TRUE
radsite.lbl.gov,TRUE
braininitiative.nih.gov,TRUE
certauth.fs.doe.gov,TRUE
data.nsidc.sit.earthdatacloud.nasa.gov,TRUE
airforcebes.af.mil,TRUE
bz.usembassy.gov,TRUE
