target_url,agency,bureau,Office,source_list_public_inventory
dml.msfc.nasa.gov,National Aeronautics and Space Administration,NASA Marshall Space Flight Center,,TRUE
doingbusiness.msfc.nasa.gov,National Aeronautics and Space Administration,NASA Marshall Space Flight Center,,TRUE
download.jpl.nasa.gov,National Aeronautics and Space Administration,NASA Jet Propulsion Laboratory,,TRUE
ds.nccs.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
earth.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
earth.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
earth.jpl.nasa.gov,National Aeronautics and Space Administration,NASA Jet Propulsion Laboratory,,TRUE
earthdata.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
earth-highlights.jpl.nasa.gov,National Aeronautics and Space Administration,NASA Jet Propulsion Laboratory,,TRUE
earthobservatory.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
echo.jpl.nasa.gov,National Aeronautics and Space Administration,NASA Jet Propulsion Laboratory,,TRUE
eclipse.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
ecolloq.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Goddard Space Flight Center,,TRUE
ecostress.jpl.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
edrn.jpl.nasa.gov,National Aeronautics and Space Administration,NASA Jet Propulsion Laboratory,,TRUE
edrn-labcas.jpl.nasa.gov,National Aeronautics and Space Administration,NASA Jet Propulsion Laboratory,,TRUE
eds.larc.nasa.gov,National Aeronautics and Space Administration,NASA Langley Research Center,,TRUE
ehpd.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Goddard Space Flight Center,,TRUE
eirb.jsc.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Health and Medical Officer,,TRUE
electrochem.jpl.nasa.gov,National Aeronautics and Space Administration,NASA Jet Propulsion Laboratory,,TRUE
elvperf.ksc.nasa.gov,National Aeronautics and Space Administration,NASA Kennedy Space Center,,TRUE
emergency.jpl.nasa.gov,National Aeronautics and Space Administration,NASA Jet Propulsion Laboratory,,TRUE
emissivity.jpl.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
engineering.larc.nasa.gov,National Aeronautics and Space Administration,NASA Langley Research Center,,TRUE
environment.arc.nasa.gov,National Aeronautics and Space Administration,NASA Ames Research Center,,TRUE
environmental.larc.nasa.gov,National Aeronautics and Space Administration,NASA Langley Research Center,,TRUE
eol.jsc.nasa.gov,National Aeronautics and Space Administration,NASA Johnson Space Center,,TRUE
eonet.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
eop-external.jpl.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
eospso.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
epact2.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
epic.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
esc.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Space Operations Mission Directorate,,TRUE
esdpubs.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
espo.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
espoarchive.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
esrs.jsc.nasa.gov,National Aeronautics and Space Administration,NASA Johnson Space Center,,TRUE
essp.larc.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
essp.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
esto.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
etd.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Goddard Space Flight Center,,TRUE
eve.larc.nasa.gov,National Aeronautics and Space Administration,NASA Langley Research Center,,TRUE
explorer1.jpl.nasa.gov,National Aeronautics and Space Administration,NASA Jet Propulsion Laboratory,,TRUE
explorers.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Goddard Space Flight Center,,TRUE
explorers.larc.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
extapps.ksc.nasa.gov,National Aeronautics and Space Administration,NASA Kennedy Space Center,,TRUE
eyes.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
fermi.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
fireballs.ndc.nasa.gov,National Aeronautics and Space Administration,NASA Office of Safety and Mission Assurance,,TRUE
firms.modaps.eosdis.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
fits.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
flightplanning.jpl.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
flightsimulation.larc.nasa.gov,National Aeronautics and Space Administration,NASA Langley Research Center,,TRUE
fluid.nccs.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
forum.earthdata.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
mmsvis.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
frc-grants.arc.nasa.gov,National Aeronautics and Space Administration,NASA Johnson Space Center,,TRUE
ftsdb.grc.nasa.gov,National Aeronautics and Space Administration,NASA Armstrong Flight Research Center,,TRUE
fun3d.larc.nasa.gov,National Aeronautics and Space Administration,NASA Langley Research Center,,TRUE
gammaray.nsstc.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
gates.jpl.nasa.gov,National Aeronautics and Space Administration,NASA Jet Propulsion Laboratory,,TRUE
gcmd.earthdata.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
gcn.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
gdscc.nasa.gov,National Aeronautics and Space Administration,NASA Space Operations Mission Directorate,,TRUE
genesis.jpl.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
gewa.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Goddard Space Flight Center,,TRUE
giovanni.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
gipoc.grc.nasa.gov,National Aeronautics and Space Administration,NASA Glenn Research Center,,TRUE
gipsyx.jpl.nasa.gov,National Aeronautics and Space Administration,NASA Jet Propulsion Laboratory,,TRUE
gis.earthdata.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
giss.nasa.gov,National Aeronautics and Space Administration,NASA Goddard Space Flight Center,,TRUE
glam1.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
glamr.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
gliht.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
glihtdata.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
globe.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
gmao.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
goes-r.nsstc.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
gpm.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
gpm-gv.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
grace.jpl.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
gracefo.jpl.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
grc.nasa.gov,National Aeronautics and Space Administration,NASA Glenn Research Center,,TRUE
gs671-suske.ndc.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
gssr.jpl.nasa.gov,National Aeronautics and Space Administration,NASA Space Operations Mission Directorate,,TRUE
guardian.jpl.nasa.gov,National Aeronautics and Space Administration,NASA Jet Propulsion Laboratory,,TRUE
guest.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,,TRUE
gulfoilspill.jpl.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
hamsr.jpl.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
har.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Goddard Space Flight Center,,TRUE
harmony.earthdata.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
hdrl.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
heasarc.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
hec.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
heliophysicsdata.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
hesperia.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
hic.msfc.nasa.gov,National Aeronautics and Space Administration,NASA Marshall Space Flight Center,,TRUE
hinode.msfc.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
hires.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
historicproperties.arc.nasa.gov,National Aeronautics and Space Administration,NASA Ames Research Center,,TRUE
history.arc.nasa.gov,National Aeronautics and Space Administration,NASA Office of Communications,,TRUE
hitide.podaac.earthdatacloud.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
hls.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
homeandcity.nasa.gov,National Aeronautics and Space Administration,NASA Space Technology Mission Directorate,,TRUE
honeybeenet.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
hq.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,,TRUE
human-factors.arc.nasa.gov,National Aeronautics and Space Administration,NASA Ames Research Center,,TRUE
humanresearchroadmap.nasa.gov,National Aeronautics and Space Administration,NASA Space Operations Mission Directorate,,TRUE
hvit.jsc.nasa.gov,National Aeronautics and Space Administration,NASA Johnson Space Center,,TRUE
hydronews.jpl.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
hytes.jpl.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
ice.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
icebridge.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
icesat.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
icesat-2.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
ideas-digitaltwin.jpl.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
ifem.larc.nasa.gov,National Aeronautics and Space Administration,NASA Aeronautics Research Mission Directorate,,TRUE
ilrs.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
image.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
images.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,,TRUE
imagine.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
impact.earthdata.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
insidedlab.jpl.nasa.gov,National Aeronautics and Space Administration,NASA Jet Propulsion Laboratory,,TRUE
invention.nasa.gov,National Aeronautics and Space Administration,NASA Space Technology Mission Directorate,,TRUE
ipnpr.jpl.nasa.gov,National Aeronautics and Space Administration,NASA Space Operations Mission Directorate,,TRUE
iris.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Goddard Space Flight Center,,TRUE
isccp.giss.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
issm.jpl.nasa.gov,National Aeronautics and Space Administration,NASA Jet Propulsion Laboratory,,TRUE
istcolloq.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Goddard Space Flight Center,,TRUE
iswa.ccmc.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
its-live.jpl.nasa.gov,National Aeronautics and Space Administration,NASA Jet Propulsion Laboratory,,TRUE
ivscc.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
ixpe.msfc.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
jpl.nasa.gov,National Aeronautics and Space Administration,NASA Jet Propulsion Laboratory,,TRUE
jpldataeval.jpl.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
jplwater.nasa.gov,National Aeronautics and Space Administration,NASA Office of Strategic Infrastructure,,TRUE
jpssmis.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Goddard Space Flight Center,,TRUE
keof.jpl.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
kscweather.ksc.nasa.gov,National Aeronautics and Space Administration,NASA Kennedy Space Center,,TRUE
l0dup05.larc.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
ladsweb.modaps.eosdis.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
laketahoe.jpl.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
lambda.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
lance.modaps.eosdis.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
landsat.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
landscape.jpl.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
landweb.modaps.eosdis.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
larc-exchange.larc.nasa.gov,National Aeronautics and Space Administration,NASA Langley Research Center,,TRUE
largelakes.jpl.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
lbpw.larc.nasa.gov,National Aeronautics and Space Administration,NASA Aeronautics Research Mission Directorate,,TRUE
ldas.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
leonid.arc.nasa.gov,National Aeronautics and Space Administration,NASA Ames Research Center,,TRUE
lep-pds.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
lidar.jpl.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
lis.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
lisa.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
llis.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Engineer,,TRUE
lms.larc.nasa.gov,National Aeronautics and Space Administration,NASA Langley Research Center,,TRUE
lmse.larc.nasa.gov,National Aeronautics and Space Administration,NASA Langley Research Center,,TRUE
lpo-mager.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
lpvs.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
lspcountdown.ndc.nasa.gov,National Aeronautics and Space Administration,NASA Kennedy Space Center,,TRUE
lst.jpl.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
lunarvolatiles.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
lvis.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
lws.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Goddard Space Flight Center,,TRUE
lws-set.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Goddard Space Flight Center,,TRUE
magnetograph.msfc.nasa.gov,National Aeronautics and Space Administration,NASA Marshall Space Flight Center,,TRUE
maia.jpl.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
maia-mmgis.jpl.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
map.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
maps.disasters.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
maps.nccs.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
maptis.nasa.gov,National Aeronautics and Space Administration,NASA Marshall Space Flight Center,,TRUE
mark4sun.jpl.nasa.gov,National Aeronautics and Space Administration,NASA Jet Propulsion Laboratory,,TRUE
mars.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
marsoweb.nas.nasa.gov,National Aeronautics and Space Administration,NASA Ames Research Center,,TRUE
masterprojects.jpl.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
mcdc.msfc.nasa.gov,National Aeronautics and Space Administration,NASA Office of Communications,,TRUE
mcl-labcas.jpl.nasa.gov,National Aeronautics and Space Administration,NASA Jet Propulsion Laboratory,,TRUE
mcst.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
mds.jpl.nasa.gov,National Aeronautics and Space Administration,NASA Jet Propulsion Laboratory,,TRUE
mdscc.nasa.gov,National Aeronautics and Space Administration,NASA Space Operations Mission Directorate,,TRUE
medeng.jpl.nasa.gov,National Aeronautics and Space Administration,NASA Jet Propulsion Laboratory,,TRUE
media.ksc.nasa.gov,National Aeronautics and Space Administration,NASA Kennedy Space Center,,TRUE
mescforyou.ksc.nasa.gov,National Aeronautics and Space Administration,NASA Kennedy Space Center,,TRUE
methane.jpl.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
mgs-mager.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
microdevices.jpl.nasa.gov,National Aeronautics and Space Administration,NASA Jet Propulsion Laboratory,,TRUE
misr.jpl.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
misse1.larc.nasa.gov,National Aeronautics and Space Administration,NASA Space Technology Mission Directorate,,TRUE
ml.jpl.nasa.gov,National Aeronautics and Space Administration,NASA Jet Propulsion Laboratory,,TRUE
mls.jpl.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
mms.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Goddard Space Flight Center,,TRUE
modaps.modaps.eosdis.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
modis.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
modis-images.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
modis-land.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
modis-snow-ice.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
montepy.jpl.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
moon.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
mplnet.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
msiexchange.nasa.gov,National Aeronautics and Space Administration,NASA Office of STEM Engagement,,TRUE
msqs.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
mttc.jpl.nasa.gov,National Aeronautics and Space Administration,NASA Jet Propulsion Laboratory,,TRUE
mwsci.jpl.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
mynasadata.larc.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
mysteries.jpl.nasa.gov,National Aeronautics and Space Administration,NASA Jet Propulsion Laboratory,,TRUE
nahw.jpl.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
naif.jpl.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
nari.arc.nasa.gov,National Aeronautics and Space Administration,NASA Aeronautics Research Mission Directorate,,TRUE
narwhal.arc.nasa.gov,National Aeronautics and Space Administration,NASA Aeronautics Research Mission Directorate,,TRUE
nas.nasa.gov,National Aeronautics and Space Administration,NASA Ames Research Center,,TRUE
nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,,TRUE
nasaeclips.arc.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
nbi.larc.nasa.gov,National Aeronautics and Space Administration,NASA Langley Research Center,,TRUE
nccs.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
ndacc.larc.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
nde.larc.nasa.gov,National Aeronautics and Space Administration,NASA Langley Research Center,,TRUE
ndeaa.jpl.nasa.gov,National Aeronautics and Space Administration,NASA Jet Propulsion Laboratory,,TRUE
nef.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,,TRUE
nek.ksc.nasa.gov,National Aeronautics and Space Administration,NASA Kennedy Space Center,,TRUE
neo.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
neo-bolide.ndc.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
neoproperties.arc.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
nepp.nasa.gov,National Aeronautics and Space Administration,NASA Goddard Space Flight Center,,TRUE
nescacademy.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Engineer,,TRUE
netspublic.grc.nasa.gov,National Aeronautics and Space Administration,NASA Glenn Research Center,,TRUE
newfrontiers.larc.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
nightsky.jpl.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
nlsp.nasa.gov,National Aeronautics and Space Administration,NASA Space Operations Mission Directorate,,TRUE
nodis3.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Administrator,,TRUE
nssdc.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
ntrs.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,,TRUE
nuwrf.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
observer.globe.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
ocdb.smce.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
oceancolor.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
oceandata.sci.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
ocov2.jpl.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
ocov3.jpl.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
oh.larc.nasa.gov,National Aeronautics and Space Administration,NASA Langley Research Center,,TRUE
oig.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Inspector General,,TRUE
oiir.hq.nasa.gov,National Aeronautics and Space Administration,NASA Office of International and Interagency Relations,,TRUE
oltaris.nasa.gov,National Aeronautics and Space Administration,NASA Langley Research Center,,TRUE
omg.jpl.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
omniweb.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
opendap.larc.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
orbitaldebris.jsc.nasa.gov,National Aeronautics and Space Administration,NASA Johnson Space Center,,TRUE
origins-habitability.jpl.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
osdr.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
ott.jpl.nasa.gov,National Aeronautics and Space Administration,NASA Jet Propulsion Laboratory,,TRUE
outreachevents.grc.nasa.gov,National Aeronautics and Space Administration,NASA Glenn Research Center,,TRUE
overflow.larc.nasa.gov,National Aeronautics and Space Administration,NASA Langley Research Center,,TRUE
ozoneaq.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
ozonewatch.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
pace.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
pandora.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
parker.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
partnerships.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Goddard Space Flight Center,,TRUE
parts.jpl.nasa.gov,National Aeronautics and Space Administration,NASA Jet Propulsion Laboratory,,TRUE
pcos.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
pds.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
pds-engineering.jpl.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
pds-imaging.jpl.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
pgda.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
phenomorph.arc.nasa.gov,National Aeronautics and Space Administration,NASA Ames Research Center,,TRUE
planetary.msfc.nasa.gov,National Aeronautics and Space Administration,NASA Marshall Space Flight Center,,TRUE
planetarydata.jpl.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
planetaryprotection.jpl.nasa.gov,National Aeronautics and Space Administration,NASA Jet Propulsion Laboratory,,TRUE
plasmasphere.nasa.gov,National Aeronautics and Space Administration,NASA Marshall Space Flight Center,,TRUE
plus.nasa.gov,National Aeronautics and Space Administration,NASA Office of Communications,,TRUE
pmmpublisher.pps.eosdis.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
podaac.jpl.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
postdocs.jpl.nasa.gov,National Aeronautics and Space Administration,NASA Jet Propulsion Laboratory,,TRUE
power.larc.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
psss.jpl.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
psg.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
psiuserregistration.ndc.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
psrs.arc.nasa.gov,National Aeronautics and Space Administration,NASA Aeronautics Research Mission Directorate,,TRUE
public.ksc.nasa.gov,National Aeronautics and Space Administration,NASA Kennedy Space Center,,TRUE
pwg.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
qaexternal.jpl.nasa.gov,National Aeronautics and Space Administration,NASA Jet Propulsion Laboratory,,TRUE
radiojove.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
rcmes.jpl.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
